ID,CURRENCY,SOURCE,DATE_CREATED,THREE_D_RESOURCE,DATE_LAST_MODIFIED,EXTERNAL_ID,EXTERNAL_URL,SOURCE_CATEGORY,THREE_D_ENABLED,SPECIAL_COMMISSION_RATE,TOTAL_SALES,NAME,VISIBLE,VENDOR,MERCHANT_ID,TYPE,AVAILABLE,DESCRIPTION,MAX_PRICE,SELLER,MIN_PRICE,STATUS,PRODUCT_ID,COMMISSION_RATE,TAGS,PUBLISHING_STATUS,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
10109,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525141962870,https://violet-besties.myshopify.com/products/yuneec-typhoon-h-hexacopter-pro-with-intel®-realsense™-technology-gun-metal-gray,Unmanned_Aerial_Vehicles,FALSE,,0,YUNEEC - Typhoon H Hexacopter Pro with Intel® RealSense™ Technology - Gun Metal Gray,TRUE,YUNEEC,10000,,TRUE,"Intel® RealSense™ technology; integrated autonomous flight modes; 4K UHD 30fps, HD 1080p 120fps video; 3-axis anti-vibration camera; Retractable landing gear",119999,Besties,119999,1,68fa3b1da58345b698ab39cf0423b266,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
10104,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525152907382,https://violet-besties.myshopify.com/products/wingsland-mini-racing-drone-orange,Unmanned_Aerial_Vehicles,FALSE,,0,Wingsland - Mini Racing Drone - Orange,TRUE,Wingsland,10000,,TRUE,720p HD video resolution,12999,Besties,12999,1,eb67017f1d0c47fa8a8843e9f89e0e98,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
10108,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525140783222,https://violet-besties.myshopify.com/products/yuneec-typhoon-h-hexacopter-black,Unmanned_Aerial_Vehicles,FALSE,,0,YUNEEC - Typhoon H Hexacopter - Black,TRUE,YUNEEC,10000,,TRUE,"Integrated autonomous flight modes; 4K UHD 30fps, HD 1080p 120fps video; 3-axis anti-vibration camera; Retractable landing gear;",77299,Besties,77299,1,afe82b4947004a0aa7020f7076776869,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
10100,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525068497014,https://violet-besties.myshopify.com/products/vizio-55-class-led-m-series-2160p-smart-4k-uhd-tv-with-hdr,Televisions,FALSE,,0,VIZIO - 55 Class - LED - M Series - 2160p - Smart - 4K UHD TV with HDR,TRUE,VIZIO,10000,,TRUE,"2160p (4K) resolution with HDRSmart TV, SmartCastClear Action 360",69999,Besties,69999,1,f823c5cb221d4f1ca6aab4227cf23c3f,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10106,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525143109750,https://violet-besties.myshopify.com/products/yuneec-breeze-quadcopter-white,Unmanned_Aerial_Vehicles,FALSE,,0,YUNEEC - Breeze Quadcopter - White,TRUE,YUNEEC,10000,,TRUE,"Follow me mode, journey mode, orbit mode, pilot mode, selfie mode, indoor positioning system; built-in camera captures 4K video &amp; 13MP photo; flying range up to 262.5 ft",16999,Besties,16999,1,86239bc77a91444688f938cd158c4f2b,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
10102,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525068726390,https://violet-besties.myshopify.com/products/vizio-65-class-led-m-series-2160p-smart-4k-uhd-tv-with-hdr,Televisions,FALSE,,0,VIZIO - 65 Class - LED - M Series - 2160p - Smart - 4K UHD TV with HDR,TRUE,VIZIO,10000,,TRUE,"2160p (4K) resolution with HDRChromecast Built-in, SmartCastClear Action 360",99999,Besties,99999,1,a4b9ba3fbc8e466a9655e312dd77ae2c,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10107,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525140488310,https://violet-besties.myshopify.com/products/yuneec-typhoon-4k-quadcopter-black,Unmanned_Aerial_Vehicles,FALSE,,0,YUNEEC - Typhoon 4K Quadcopter - Black,TRUE,YUNEEC,10000,,TRUE,YUNEEC Typhoon 4K Quadcopter: Multidirectional controls; 3-axis precision gimbal camera; 4K Ultra HD video resolution; 2.4GHz ST10+ Ground Station controller with built-in touch screen,59999,Besties,59999,1,c11c99ac233f41a9a39cd4e118836526,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
10101,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525064794230,https://violet-besties.myshopify.com/products/vizio-55-class-led-p-series-2160p-smart-4k-uhd-tv-with-hdr,Televisions,FALSE,,0,VIZIO - 55 Class - LED - P-Series - 2160p - Smart - 4K UHD TV with HDR,TRUE,VIZIO,10000,,TRUE,"2160p (4K) resolution with HDRSmart TV, SmartCastClear Action 720",79999,Besties,79999,1,655b8ae4a8f440f39704f3d2f9b24378,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10103,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525065121910,https://violet-besties.myshopify.com/products/vizio-65-class-led-p-series-2160p-smart-4k-uhd-tv-with-hdr,Televisions,FALSE,,0,VIZIO - 65 Class - LED - P-Series - 2160p - Smart - 4K UHD TV with HDR,TRUE,VIZIO,10000,,TRUE,"2160p (4K) resolution with HDRChromecast Built-in, SmartCastClear Action 720",119999,Besties,119999,1,f84ef822e1e142be9fa73452974b15e1,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10105,USD,1,2018-08-15T15:56:39Z,,2022-11-14T03:13:31Z,1525146124406,https://violet-besties.myshopify.com/products/wingsland-s6-quadcopter-orange,Unmanned_Aerial_Vehicles,FALSE,,0,Wingsland - S6 Quadcopter - Orange,TRUE,Wingsland,10000,,TRUE,"Follow Me, Return-To-Home modes; 4K up to 30fps video recording; 480p or 720p live streaming",29999,Besties,29999,1,7f433ceba75346be918edf1a29fe4984,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
10099,USD,1,2018-08-15T15:56:38Z,,2022-11-14T03:13:36Z,1525064499318,https://violet-besties.myshopify.com/products/vizio-39-class-led-d-series-1080p-smart-hdtv,Televisions,FALSE,,0,VIZIO - 39 Class - LED - D-Series - 1080p - Smart - HDTV,TRUE,VIZIO,10000,,TRUE,"1080p (Full HD) resolutionSmart TV, SmartCast120Hz refresh rate",24999,Besties,24999,1,2daa11d6eb004a2ca086acf36c077661,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10098,USD,1,2018-08-15T15:56:38Z,,2022-11-14T03:13:36Z,1525063909494,https://violet-besties.myshopify.com/products/toshiba-55-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition,Televisions,FALSE,,0,Toshiba - 55” Class – LED - 2160p – Smart - 4K UHD TV with HDR – Fire TV Edition,TRUE,Toshiba,10000,,TRUE,Fire TV experience built-inVoice Remote with Alexa4K Ultra HD picture qualityIntegrated streaming and live TVControl smart home devices,47999,Besties,47999,1,139bdedd1c8640129d149a8d62511bd1,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10088,USD,1,2018-08-15T15:56:37Z,,2022-11-14T03:13:34Z,1525068202102,https://violet-besties.myshopify.com/products/rylo-360-degree-video-camera,Camcorders,FALSE,,0,Rylo - 360 Degree Video Camera,TRUE,Rylo,10000,,TRUE,360° video capable2x digital zoomCinematic stabilization4K Ultra HD video at 30 fps18.0MP digital still6K panorama photo capture,49999,Besties,49999,1,afdfd053ddab4c378e5caff745a066ee,15,"action camcorders,camcorders,cameras & camcorders",1,FALSE,2023-03-10T10:33:25.82Z
10091,USD,1,2018-08-15T15:56:37Z,,2022-11-14T03:13:34Z,1525068824694,https://violet-besties.myshopify.com/products/samsung-refurbished-ubd-m7500-streaming-4k-ultra-hd-blu-ray-player-black,DVD_and_Blu_Ray_Players,FALSE,,0,Samsung - Refurbished UBD-M7500 - Streaming 4K Ultra HD Blu-Ray Player - Black,TRUE,Samsung,10000,,TRUE,"Refurbished4K Ultra HD4K UpscalingSmart HubPlays DVD-R, DVD+RW, DVD-RW, DVD+R, DVD, CD, BD-R and Blu-ray Disc",17999,Besties,17999,1,f4fddfd2c81d40d28053f5fa11b071ad,15,"blu-ray & dvd players,blu-ray players,streaming blu-ray players,tv & home theater",1,FALSE,2023-03-10T10:33:25.82Z
10093,USD,1,2018-08-15T15:56:37Z,,2022-11-14T03:13:36Z,1525062991990,https://violet-besties.myshopify.com/products/sharp-50-class-led-1080p-smart-hdtv-roku-tv,Televisions,FALSE,,0,Sharp - 50 Class - LED - 1080p - Smart - HDTV Roku TV,TRUE,Sharp,10000,,TRUE,"Only at Best Buy
 1080p (Full HD) resolutionSmart TV, Built-in Roku smart platform60Hz refresh rate",34999,Besties,34999,1,eafc399f81da4edfb16e469ec9c23416,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10094,USD,1,2018-08-15T15:56:37Z,,2022-11-14T03:13:36Z,1525066793078,https://violet-besties.myshopify.com/products/sony-70-class-led-x830f-series-2160p-smart-4k-uhd-tv-with-hdr,Televisions,FALSE,,0,Sony - 70 Class - LED - X830F Series - 2160p - Smart - 4K UHD TV with HDR,TRUE,Sony,10000,,TRUE,"2160p (4K) resolution with HDRSmart TV, Android TVMotionflow XR 960",229999,Besties,229999,1,fcd40c8924be4c039e027b7265fe2b66,15,"all flat-screen tvs,tv & home theater,tvs",1,FALSE,2023-03-10T10:33:25.82Z
10089,USD,1,2018-08-15T15:56:37Z,,2022-11-14T03:13:31Z,1525152579702,https://violet-besties.myshopify.com/products/ryze-tello-quadcopter-white-and-black,Unmanned_Aerial_Vehicles,FALSE,,0,Ryze - Tello Quadcopter - White And Black,TRUE,Ryze,10000,,TRUE,"VR headset compatibility, DJI flight tech; built-in camera captures 720p HD video and 5.0MP photos; 328' range",9999,Besties,9999,1,73909d4172a64e0c8dfd31f8076eec75,15,"camera drones,drones,drones & drone accessories,toys & collectibles",1,FALSE,2023-03-10T10:33:25.82Z
